순번,물품명,예상단가,수량,예상금액,할인가,사는 곳,상품번호/링크
1,후르츠텔라,7000,3,21000,,쿠팡,https://www.coupang.com/vp/products/4941210865?itemId=19421765182&vendorItemId=86533230382&q=%ED%9B%84%EB%A5%B4%EC%B8%A0%ED%85%94%EB%9D%BC&searchId=65e5402a7315131&sourceType=search&itemsCount=36&searchRank=6&rank=6&traceId=mpc86wd9
2,원예용 식물 그물망,13400,1,13400,,쿠팡,https://www.coupang.com/vp/products/8109180592?itemId=25254557250&searchId=feed-a0224b204d04465597ed010637903b23-3.3.37%3Aview_together_ads-P7397862322&vendorItemId=89998741575&sourceType=SDP_ADS&clickEventId=c3ecaff0-534a-11f1-8e9e-978ce3ffd8a1
3,도화지 130g A4 500매,15500,1,15500,,쿠팡,"탐사 스케치북 도화지 130g A4, A4, 500매 - 켄트지/도화지 | 쿠팡"
4,플레이트 캔트스탑 L Board 보드게임,15000,1,15000,,쿠팡,플레이트 캔트스탑 L Board 보드게임 - 기타보드게임 | 쿠팡
5,퍼레이드 보드 카드 전략 트릭 카드게임,29300,1,29300,,쿠팡,"퍼레이드 보드 카드 전략 트릭 카드게임 3인 4인 커플 패밀리게임 중국어 버전 1개, 1개, 1개 - 기타보드게임 | 쿠팡"
6,화분받침대(PH-01) - A03,5300,1,5300,,쿠팡,화분받침대(PH-01) 화분정리 직사각 물받침대 대형받침대 - 화분받침/스탠드 | 쿠팡
7,,,,99500,,,
8,,,,0,,,
9,,,,0,,,
10,,,,0,,,
11,,,,0,,,
12,,,,0,,,
13,,,,,,,
14,,,,,,,
15,,,,,,,
16,,,,,,,
17,,,,,,,
18,,,,,,,
19,,,,,,,
20,,,,,,,
21,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
