week,dateText,month,day,isoDate,weekday,itemOrderOnDate,category,titleOrDisplayText,parenthesesDetail,sourceRow
1,6.1.(월),6,1,2026-06-01,월,1,교육주간/주간업무,"생태전환교육 및 환경교육 주간(~6.5, 전교생, 정민주)","~6.5, 전교생, 정민주",2
1,6.3.(수),6,3,2026-06-03,수,1,휴업/공휴,지방선거,,4
1,6.4.(목),6,4,2026-06-04,목,1,행사,"학생 자치 운영 우수 사례 학교 견학(13:50~, 청하초등학교, 관련 교직원)","13:50~, 청하초등학교, 관련 교직원",5
2,6.10.(수),6,10,2026-06-10,수,1,마음쉼표,6학년 마음쉼표의 날,,9
2,6.11.(목),6,11,2026-06-11,목,1,행사,"6월 1회 장량 꿈끼 나눔 버스킹 (8:20~8:50, 강당, 송윤아)","8:20~8:50, 강당, 송윤아",10
3,6.15.(월),6,15,2026-06-15,월,1,교육주간/주간업무,"동료 장학 주간(~6/26, 전교원, 이승미)","~6/26, 전교원, 이승미",12
3,6.15.(월),6,15,2026-06-15,월,2,마음쉼표,1학년 마음쉼표의 날,,12
3,6.17.(수),6,17,2026-06-17,수,1,교육/연수,"교직원 심폐소생술교육(13:50~16:50, 전교직원, 꿈빛마루, 양정인)","13:50~16:50, 전교직원, 꿈빛마루, 양정인",14
3,6.17.(수),6,17,2026-06-17,수,2,업무,6월 사이버보안 진단의 날,,14
4,6.22.(월),6,22,2026-06-22,월,1,교육/연수,"7월 교육 계획 수합(~6/26, 전교직원, 교무기획부)","~6/26, 전교직원, 교무기획부",17
4,6.22.(월),6,22,2026-06-22,월,2,수업공개,"수업공개: 1학년(2교시, 1-1, 박모라),  보건(3교시, 보건교육실, 양정인), 체육(4교시, 꿈빛마루, 권혁철)","4교시, 꿈빛마루, 권혁철",17
4,6.22.(월),6,22,2026-06-22,월,3,협의회,"사후협의회: 1학년(14:00~, 1-1)","14:00~, 1-1",17
4,6.23.(화),6,23,2026-06-23,화,1,수업공개,"수업공개: 과학(2교시, 과학실2, 이승미),영양(1교시,6-5,권수현)","1교시,6-5,권수현",18
4,6.24.(수),6,24,2026-06-24,수,1,수업공개,"수업공개: 특수(1교시, 도움반, 김민성), 2학년(2교시, 2-1, 이하늬), 영어(4교시, 영어전담실, 정채린)","4교시, 영어전담실, 정채린",19
4,6.24.(수),6,24,2026-06-24,수,2,협의회,"사후협의회: 2학년(14:00~, 2-1), 전담(14:30~, 과학실2), 특수/비교과(15:00~, 2층 교무회의실)","15:00~, 2층 교무회의실",19
4,6.24.(수),6,24,2026-06-24,수,3,회의,"전교어린이회의(13:50~, 6-2, 전교임원 및 4-6학년 학급임원)","13:50~, 6-2, 전교임원 및 4-6학년 학급임원",19
4,6.25.(목),6,25,2026-06-25,목,1,행사,"6월 2회 장량 꿈끼 나눔 버스킹 (8:20~8:50, 강당, 송윤아)","8:20~8:50, 강당, 송윤아",20
4,6.25.(목),6,25,2026-06-25,목,2,수업공개,"수업공개: 6학년(2교시, 6-4, 김재민), 5학년(4교시, 5-3, 심보승)","4교시, 5-3, 심보승",20
4,6.25.(목),6,25,2026-06-25,목,3,협의회,"사후협의회: 5학년(15:00~, 5-3), 6학년(15:30~, 6-4)","15:30~, 6-4",20
4,6.26.(금),6,26,2026-06-26,금,1,수업공개,"수업공개: 4학년(1교시, 4-1, 송준석), 3학년(2교시, 3-1, 조익현)","2교시, 3-1, 조익현",21
4,6.26.(금),6,26,2026-06-26,금,2,협의회,"사후협의회: 3학년(15:00~, 3-1), 4학년(15:30~, 4-1)","15:30~, 4-1",21
4,6.26.(금),6,26,2026-06-26,금,3,마음쉼표,식생활관  마음쉼표의 날,,21
5,6.29.(월),6,29,2026-06-29,월,1,업무,"여름 방학 계획 수립(~7/3, 전교원, 이가을)","~7/3, 전교원, 이가을",22
5,6.29.(월),6,29,2026-06-29,월,2,회의,"7월 부장 협의회(15:00~, 학년 부장 및 업무 부장·행정실장·늘봄실장, 교장실)","15:00~, 학년 부장 및 업무 부장·행정실장·늘봄실장, 교장실",22
