week,dateText,month,day,isoDate,weekday,itemCount,rawContent
1,6.1.(월),6,1,2026-06-01,월,1,"▪ 생태전환교육 및 환경교육 주간(~6.5, 전교생, 정민주)"
1,6.2.(화),6,2,2026-06-02,화,0,▪
1,6.3.(수),6,3,2026-06-03,수,1,지방선거
1,6.4.(목),6,4,2026-06-04,목,1,"▪ 학생 자치 운영 우수 사례 학교 견학(13:50~, 청하초등학교, 관련 교직원)"
1,6.5.(금),6,5,2026-06-05,금,0,▪
2,6.8.(월),6,8,2026-06-08,월,0,▪
2,6.9.(화),6,9,2026-06-09,화,0,▪
2,6.10.(수),6,10,2026-06-10,수,1,▪ 6학년 마음쉼표의 날
2,6.11.(목),6,11,2026-06-11,목,1,"▪ 6월 1회 장량 꿈끼 나눔 버스킹 (8:20~8:50, 강당, 송윤아)"
2,6.12.(금),6,12,2026-06-12,금,0,▪
3,6.15.(월),6,15,2026-06-15,월,2,"▪ 동료 장학 주간(~6/26, 전교원, 이승미)
▪ 1학년 마음쉼표의 날"
3,6.16.(화),6,16,2026-06-16,화,0,▪
3,6.17.(수),6,17,2026-06-17,수,2,"▪ 교직원 심폐소생술교육(13:50~16:50, 전교직원, 꿈빛마루, 양정인)
▪ 6월 사이버보안 진단의 날"
3,6.18.(목),6,18,2026-06-18,목,0,▪
3,6.19.(금),6,19,2026-06-19,금,0,▪
4,6.22.(월),6,22,2026-06-22,월,3,"▪ 7월 교육 계획 수합(~6/26, 전교직원, 교무기획부)
▪ 수업공개: 1학년(2교시, 1-1, 박모라),  보건(3교시, 보건교육실, 양정인), 체육(4교시, 꿈빛마루, 권혁철)
▪ 사후협의회: 1학년(14:00~, 1-1)"
4,6.23.(화),6,23,2026-06-23,화,1,"▪ 수업공개: 과학(2교시, 과학실2, 이승미),영양(1교시,6-5,권수현)"
4,6.24.(수),6,24,2026-06-24,수,3,"▪ 수업공개: 특수(1교시, 도움반, 김민성), 2학년(2교시, 2-1, 이하늬), 영어(4교시, 영어전담실, 정채린)
▪ 사후협의회: 2학년(14:00~, 2-1), 전담(14:30~, 과학실2), 특수/비교과(15:00~, 2층 교무회의실)
▪ 전교어린이회의(13:50~, 6-2, 전교임원 및 4-6학년 학급임원)"
4,6.25.(목),6,25,2026-06-25,목,3,"▪ 6월 2회 장량 꿈끼 나눔 버스킹 (8:20~8:50, 강당, 송윤아)
▪ 수업공개: 6학년(2교시, 6-4, 김재민), 5학년(4교시, 5-3, 심보승)
▪ 사후협의회: 5학년(15:00~, 5-3), 6학년(15:30~, 6-4)"
4,6.26.(금),6,26,2026-06-26,금,3,"▪ 수업공개: 4학년(1교시, 4-1, 송준석), 3학년(2교시, 3-1, 조익현)
▪ 사후협의회: 3학년(15:00~, 3-1), 4학년(15:30~, 4-1)
▪ 식생활관  마음쉼표의 날"
5,6.29.(월),6,29,2026-06-29,월,2,"▪ 여름 방학 계획 수립(~7/3, 전교원, 이가을)
▪ 7월 부장 협의회(15:00~, 학년 부장 및 업무 부장·행정실장·늘봄실장, 교장실)"
5,6.30.(화),6,30,2026-06-30,화,0,▪
